NO RVI,TYPE,PUBLIC PLACE ID,DESCRIPTION,ADDRESSE,More Information,Borough,Latitude,Longitude,Altitude
5600,UNVERSIT,UNCONCORDI,Campus Sir-Georges-Williams,1455 De Maisonneuve BV O MONTREAL (VILLE-MARIE) H4E3H1,"Concordia University . Via the main entrance on the Maisonneuve West ,  Paratransit pictogram",VILLE-MARIE,45.5126,-73.554,100
4265,MAGASIN,CDNTIREMNO,Canadian Tire Montreal Nord,6000 Henri-Bourassa BV E Canadian Tire MONTREAL-NORD H1G2W4,Canadian Tire Montreal north. Via the main entrance at the TA pictogram.,MONTREAL-NORD,45.6085,-73.6172,100
6044,ARDI,CAREPARKHA,CARE/atl/Parkhaven,5785 Parkhaven AV Porte E COTE-SAINT-LUC H4W1Y1,C A R E Marymount workshop . Via the door E on the north east of the building,COTE-SAINT-LUC,45.4712,-73.6658,100
5053,BUREAU,CARTEOPUS,Carte Opus,1755 Berri RU MONTREAL (VILLE-MARIE) H4C1T5,Opus Card. Via the main entrance.,VILLE-MARIE,45.5126,-73.554,100
1000,CEGEP,CEGEPAHUNT,Cegep Ahuntsic,9155 Saint-Hubert RU MONTREAL (AHUNTSIC/CARTIERVILLE) H2M1Y5,Cegep Ahuntsic. Via the entrance on 9155 Saint-Hubert street.,AHUNTSIC,45.5539,-73.667,100
1001,CEGEP,CEGEPLAURE,Cegep Andre-Laurendeau,1111 Lapierre RU LASALLE H8N2J4,Cegep Andre-Laurendeau. Via door 4 at the entrance to the Desjardins Theatre with the TA pictogram.,LASALLE,45.4308,-73.6358,100
1002,CEGEP,CEGEPBBOUL,Cegep Bois-de-Boulogne,10555 du Bois-de-Boulogne AV Pavillon St-Paul MONTREAL (AHUNTSIC/CARTIERVILLE) H3M2X7,Cegep Bois de Boulogne. Via the main entrance at Pavilion Saint-Paul to the access ramp.,AHUNTSIC,45.5539,-73.667,100
1003,CEGEP,CEGEPDAWSO,Cegep Dawson,4001 De Maisonneuve BV O WESTMOUNT H1J1H9,Dawson College. Via the door 5B 16 of the B wing of the College.,WESTMOUNT,45.4888,-73.587,100
1004,CEGEP,CEGEPGGODI,Cegep Gerald Godin,15615 Gouin BV O MONTREAL (ILE-BIZARD/STE-GENEVIEVE) H9W1V9,Cegep Gerald Godin. Via the main entrance.,ILE-BIZARD,45.4815,-73.8815,100
1005,CEGEP,CEGEPMAISO,Cegep Maisonneuve,2701 Nicolet RU MONTREAL (HOCHELAGA/MAISONNEUVE) H3Z1K8,Cegep Maisonneuve. Via the entrance to Nicolet street.,HOCHELAGA,45.5498,-73.5416,100
1006,CEGEP,CEGEPMCICT,Cegep Marie Victorin,7000 Marie-Victorin RU MONTREAL (POINTE-AUX-TREMBLES/RDP) H1G2J5,Cegep Marie Victorin. Via the main entrance at the TA Pictogram.,POINTE-AUX-TREMBLES,45.6473,-73.494,100
1007,CEGEP,CEGEPROSEM,Cegep Rosemont,6400 16e AV Cegep MONTREAL (ROSEMONT) H1X2S9,Rosemont Cegep. Via the students entrance at the TA Pictogram.,ROSEMONT,45.5585,-73.5901,100
1017,CEGEP,CEGEPVANIG,Cegep Vanier Pavillon G Sportif,821 Sainte-Croix AV Pavillon G SAINT-LAURENT H9H2X7,Cegep Vanier Pavilion G. Behind the Sports Center.,SAINT-LAURENT,45.5003,-73.703,100
1012,CEGEP,CEGEPVADM,Cegep Vanier Pavillon Principal,821 Sainte-Croix AV Pavillon Principal SAINT-LAURENT H9H2X7,Cegep Vanier Administrative Pavilion. Via the main door.,SAINT-LAURENT,45.5003,-73.703,100
1011,CEGEP,CEGEPVANIE,Cegep Vanier Porte A,821 Sainte-Croix AV Porte A SAINT-LAURENT H9H2X7,Cegep Vanier Building A. Via the rear parking lot at door P4 with TA pictogram.,SAINT-LAURENT,45.5003,-73.703,100
1014,CEGEP,CEGEPVMTL,Cegep Vieux-Montreal,255 Ontario RU E MONTREAL (VILLE-MARIE) H2X1H4,Cegep Vieux Montreal. Via the Door 255-A. Pictogram TA.,VILLE-MARIE,45.5126,-73.554,100
3662,MEDICAL,CASOMCGILL,Centre Academique de sante de l'oeil MG,5252 De Maisonneuve BV O MONTREAL (COTE-DES-NEIGES/NDG) H9B1Y7,Centre Academique de sante de l'oeil. Via the main door.,COTE-DES-NEIGES,45.496,-73.6247,100
4212,ASSOC,CACTION,Centre Action,2214 Dollard AV LASALLE H4G1R4,Action centre. Via by the parking lot South side of the building.,LASALLE,45.4308,-73.6358,100
2923,ECOLE,CANJEDUADU,Centre Anjou Education des Adultes,5515 de l'Arena AV ANJOU H1K4C9,Center Anjou Education of the Adults . Via the main entrance,ANJOU,45.5964,-73.535,100
4194,PISCINE,PISCPCL,Centre Aquatique Pointe-Claire,60 Maywood CH POINTE-CLAIRE H9J1R9,Pointe-Claire Aquatic Centre . Via the entrance through the parking area on Maywood Avenue,POINTE-CLAIRE,45.4486,-73.8167,100
4220,ARDI,CAUXPUITS,Centre Aux Puits,3505 Bagot RU MONTREAL (ROSEMONT) H1A5G3,Aux Puits Center. Via Bagot street.,ROSEMONT,45.5585,-73.5901,100
4225,ARENA,CBELLEMPL,Centre Bell entree des employes,1275 Saint-Antoine RU O MONTREAL (VILLE-MARIE) H2X3J4,"Bell Center employees entrance   VIA the entrance at 1275 Saint-Antoine, corner De la Montagne",VILLE-MARIE,45.5126,-73.554,100
1201,RESIDENC,CBTREMBLAR,Centre Berthiaume-Du Tremblay,1635 Gouin BV E Residence Berthiaume-Du Tremblay MONTREAL (AHUNTSIC/CARTIERVILLE) H2C1C2,Residence Berthiaume-Du Tremblay. Via the main entrance.,AHUNTSIC,45.5539,-73.667,100
4097,LOISIRS,CCIVDDO,Centre Civique Dollard-des-Ormeaux,12001 de Salaberry BV Centre Civique Dollard-des-Ormeaux DOLLARD-DES-ORMEAUX H8Y2B6,"Centre Civique Dollard-des-Ormeaux . Via the back entrance , at the T A signpost door 4",DOLLARD-DES-ORMEAUX,45.4935,-73.8275,100
4177,LOISIRS,CCOMHOLOCA,Centre Commemoratif de l'Holocauste,5151 Cote-Sainte-Catherine CH MONTREAL (COTE-DES-NEIGES/NDG) H4W2V6,Montreal Holocaust Memorial Centre . Via the main entrance,COTE-DES-NEIGES,45.496,-73.6247,100
4263,ARDI,MADA,Centre Communauraire MADA,5695 Saint-Fran̤ois CH SAINT-LAURENT H4S1W6,MADA Community Center. Via the main door.,SAINT-LAURENT,45.5003,-73.703,100
4164,LOISIRS,CCOMMCESUD,Centre communautaire Centre-Sud,2093 de la Visitation RU Pavillon Palestre Nationale MONTREAL (VILLE-MARIE) H2L5E9,Centre-Sud community center . Via the main entrance,VILLE-MARIE,45.5126,-73.554,100
4131,LOISIRS,CCOMMANJOU,Centre communautaire d'Anjou,7800 Metropolitain BV E ANJOU H1Z3A3,Anjou community center . Via at the back of the parking lot,ANJOU,45.5964,-73.535,100
4135,LOISIRS,CCOMMLAJEU,Centre Communautaire Lajeunesse,7378 Lajeunesse RU MONTREAL (VILLERAY/ST-MICHEL/PARC EXT) H3L2E7,Lajeunesse Community Center . Via the parking entrance facing 7378 Berri street,VILLERAY,45.5556,-73.617,100
4246,CDJ,HSCBORRCDJ,Centre Communautaire Radisson,1101 Saint-Dominique RU MONTREAL (VILLE-MARIE) H2L1L8,Center-Ville-de-Montreal accommodation center. Via the main door with the TA pictogram.,VILLE-MARIE,45.5126,-73.554,100
4228,ASSOC,CSTANTOINE,Centre communautaire Saint-Antoine,850 Dominion RU Centre communautaire Saint-Antoine MONTREAL (SUD-OUEST) H3J1A8,Saint-Antoine community Centre. Via the main entrance.,SUD-OUEST,45.4791,-73.5812,100
4227,LOISIRS,CCWBASTIEN,Centre Communautaire Wilfrid-Bastien,8180 Collerette RU SAINT-LEONARD H1P2V6,"Centre communautaire, Pavillon Parc Wilfrid-Bastien Via the main door with the T.A. sign",SAINT-LEONARD,45.5931,-73.587,100
3605,MEDICAL,CLETHBRIDG,Centre Constance Lethbridge,7005 De Maisonneuve BV O MONTREAL (COTE-DES-NEIGES/NDG) H4T1T3,Constance Lethbridge Rehabilitation Centre . Via the main entrance,COTE-DES-NEIGES,45.496,-73.6247,100
4133,LOISIRS,CCULTEST,Centre Culturel de l'Est,4375 Ontario RU E Centre MONTREAL (HOCHELAGA/MAISONNEUVE) H1V1K2,East cultural center. Via the main entrance.,HOCHELAGA,45.5498,-73.5416,100
1300,CTRACHAT,CABEACONSF,Centre d'achat Beaconsfield,50 Saint-Charles BV C.A. BEACONSFIELD H9W3P3,Beaconsfield shopping center. Via the main entrance under the Dagwood's restaurant sign.,BEACONSFIELD,45.4312,-73.8654,100
1378,CTRACHAT,CABOULFALI,Centre d'achat Boulevard Foire alimentai,4270 Jean-Talon RU E SAINT-LEONARD H1N2V8,Boulevard shopping center Food fair. Via door D (North side).,SAINT-LEONARD,45.5931,-73.587,100
1301,CTRACHAT,CACANGRIGR,Centre d'achat Carrefour Angrignon,7077 Newman BV Centre d'achats LASALLE H4A3K6,Angrignon shopping centre .Via the entrance door #5 facing sign post #12 near the Hockey Expert.,LASALLE,45.4308,-73.6358,100
1304,CTRACHAT,CAPOINTE,Centre d'achat Carrefour de la Pointe,12675 Sherbrooke RU E MONTREAL (POINTE-AUX-TREMBLES/RDP) H1N1E6,Carrefour de la Pointe shopping centre. Via the main entrance near Royal Bank with TA Pictogram.,POINTE-AUX-TREMBLES,45.6473,-73.494,100
1303,CTRACHAT,CALANGELIE,Centre d'achat Carrefour Langelier,7335 Langelier BV SAINT-LEONARD H1M1V4,Carrefour Langelier shopping centre. Via the main entrance next to the Jean-Coutu Pharmacy.,SAINT-LEONARD,45.5931,-73.587,100
1391,CTRACHAT,INTERCLAVA,Centre d'achat Centre Laval,1600 Le Corbusier BV LAVAL (CHOMEDEY) H7S1Y9,Laval Center. Via the main entrance between Bureau en Gros store and Subway restaurant.,CHOMEDEY,45.5649,-73.7351,100
1367,CTRACHAT,CPTECLAIRE,Centre d'achat Complexe Pointe-Claire,6361 Transcanadienne VO POINTE-CLAIRE H9R1Y4,Pointe-Claire shopping center. Via the entrance of Maxi market entrance.,POINTE-CLAIRE,45.4486,-73.8167,100
1309,CTRACHAT,CAFAIRVIEW,Centre d'achat Fairview,6801 Transcanadienne VO Fairview POINTE-CLAIRE H9R5J2,"Fairview shopping mall. Via the entrance #3, facing post #10 (serviCentre).",POINTE-CLAIRE,45.4486,-73.8167,100
1346,CTRACHAT,FAUBOURGST,Centre d'achat Faubourg Ste-Catherine,1616 Sainte-Catherine RU O MONTREAL (VILLE-MARIE) H1E2E7,Faubourg Sainte-Catherine. Via the pedestrian entrance to the alley between the 1250 and 1200 Guy Steet.,VILLE-MARIE,45.5126,-73.554,100
1310,CTRACHAT,CAFOREST,Centre d'achat Forest,10633 Pie-IX BV MONTREAL-NORD H1V2C9,Forest shopping center. Via the Pharmaprix entrance.,MONTREAL-NORD,45.6085,-73.6172,100
1315,CTRACHAT,CADESSOURC,Centre d'achat Galeries des Sources,3237 des Sources BV DOLLARD-DES-ORMEAUX H9B1Z6,Shopping Center Galeries Des Sources. Via the main entrance of the shopping center next to the Adonis Market.,DOLLARD-DES-ORMEAUX,45.4935,-73.8275,100
1311,CTRACHAT,CAGKIRKLAN,Centre d'achat Galeries Kirkland,3636 Saint-Charles BV KIRKLAND H9C2S3,Galeries Kirkland shopping centre. Via the entrance of the restaurant RESTO VIEUX FOUR Manago.,KIRKLAND,45.4509,-73.8643,100
1312,CTRACHAT,CAGLACHINE,Centre d'achat Galeries Lachine,2972 Remembrance RU LACHINE H4B2L1,Galeries Lachine shopping centre. Via the main entrance near the Eggsquis restaurant.,LACHINE,45.4413,-73.6871,100
1317,CTRACHAT,CAJDORVAL,Centre d'achat Jardins Dorval,352 Dorval AV DORVAL H8N3E4,Dorval Gardens shopping centre. Via entrance #1 between the RBC Royal Bank and the Nickels restaurant.,DORVAL,45.4501,-73.7491,100
1320,CTRACHAT,CABOULEVAR,Centre d'achat Le Boulevard,4270 Jean-Talon RU E SAINT-LEONARD H1N2V8,Le Boulevard shopping centre. Via the entrance of the door B facing 24e Avenue.,SAINT-LEONARD,45.5931,-73.587,100
1322,CTRACHAT,CALEGER,Centre d'achat Leger,6425 Leger BV MONTREAL-NORD H1G1R9,Leger Shopping center. Via the main entrance between the Banque Nationale and the Jean Coutu Pharmacy with the TA Pictogram.,MONTREAL-NORD,45.6085,-73.6172,100
1323,CTRACHAT,COURSMTROY,Centre d'achat Les Cours Mont-Royal,1455 Peel RU MONTREAL (VILLE-MARIE) H2X0A9,Les Cours Mont Royal Shopping Centre. Via the entrance of 1440 Metcalfe Street at TA Pictogram.,VILLE-MARIE,45.5126,-73.554,100
1302,CTRACHAT,CAGANJOU,Centre d'achat Les Galeries d'Anjou,8001 des Galeries-d'Anjou BV ANJOU H1J2C9,Galeries d'Anjou shopping center. Via the entrance of door #5 near the serviCentre.,ANJOU,45.5964,-73.535,100
1419,CTRACHAT,CAMCHAMPLA,Centre d'achat Mail Champlain,2151 Lapiniore BV Mail BROSSARD J4Y0B3,Champlain Mall Shopping Center . Via Archambault store entrance,BROSSARD,45.4491,-73.4658,100
1306,CTRACHAT,CACAVENDIS,Centre d'achat Mall Cavendish,5800 Cavendish BV COTE-SAINT-LUC H4W1S9,Cavendish Mall. Via the door of the food court behind Shopping Center.,COTE-SAINT-LUC,45.4712,-73.6658,100
1326,CTRACHAT,CAMONTPELL,Centre d'achat Montpellier,740 Cote-Vertu BV SAINT-LAURENT H9B2N9,Montpellier shopping centre . Via the Metro Market main entrance.,SAINT-LAURENT,45.5003,-73.703,100
1327,CTRACHAT,CAPANIHON,Centre d'achat Place Alexis Nihon,1500 Atwater AV MONTREAL (VILLE-MARIE) H2J4E8,Alexis Nihon Plaza Shopping center. Via the main entrance on Atwater Avenue.,VILLE-MARIE,45.5126,-73.554,100
1328,CTRACHAT,CAPBOURASS,Centre d'achat Place Bourassa,6000 Henri-Bourassa BV E MONTREAL-NORD H1G2W4,Place Bourassa shopping center. Via door #2.,MONTREAL-NORD,45.6085,-73.6172,100
1329,CTRACHAT,CAPDUPUIS,Centre d'achat Place Dupuis,800 De Maisonneuve BV E MONTREAL (VILLE-MARIE) H2X1H3,Place Dupuis shopping centre. By the door at 800 de Maisonneuve Est Boulevard.,VILLE-MARIE,45.5126,-73.554,100
1333,CTRACHAT,CAPNEWMAN,Centre d'achat Place Newman,2101 Dollard AV Centre d'achats LASALLE H4H1W8,Place Newman Shopping Center. Via the entrance under the Dollarama sign.,LASALLE,45.4308,-73.6358,100
1334,CTRACHAT,CAPVERSAIL,Centre d'achat Place Versailles,7275 Sherbrooke RU E Place Versailles MONTREAL (HOCHELAGA/MAISONNEUVE) H4P1T7,Place Versailles shopping center. Via the entrance near the Nickels.,HOCHELAGA,45.5498,-73.5416,100
1335,CTRACHAT,CAPVERTU,Centre d'achat Place Vertu,3131 Cote-Vertu BV SAINT-LAURENT H9B2N9,"Place-Vertu shopping center. Via door 2, facing post 2.",SAINT-LAURENT,45.5003,-73.703,100
1373,CTRACHAT,PLVILMARIE,Centre d'Achat Place Ville-Marie,4 Ville-Marie PL MONTREAL (VILLE-MARIE) H1Y2V9,Place Ville-Marie Shopping Center. Via the entrance on Robert-Bourassa Boulevard.,VILLE-MARIE,45.5126,-73.554,100
1352,CTRACHAT,CACDN,Centre d'achat Plaza Cote-des-Neiges,6700 Cote-des-Neiges CH MONTREAL (COTE-DES-NEIGES/NDG) H4W2T8,Plaza Cote des neiges shopping center. Via the entrance beside Canadian Tire facing Barkley Avenue.,COTE-DES-NEIGES,45.496,-73.6247,100
1338,CTRACHAT,CAPTECLAIR,Centre d'achat Plaza Pointe-Claire,325 Saint-Jean BV POINTE-CLAIRE H4N1Y7,Pointe-Claire shopping centre. Via the entrance to the right of the Metro market with the TA Pictogram.,POINTE-CLAIRE,45.4486,-73.8167,100
1382,CTRACHAT,CADECARIE,Centre d'achat Square Decarie,6900 Decarie BV COTE-SAINT-LUC H4V1Z2,Decarie Square shopping centre. Via the entrance of 5345 Vezina Street with TA Pictogram.,COTE-SAINT-LUC,45.4712,-73.6658,100
1342,CTRACHAT,CAWILDERTO,Centre d'achat Wilderton,2645 Van Horne AV MONTREAL (COTE-DES-NEIGES/NDG) H4K1P3,Wilderton shopping centre. Via the main door on Van Horne Avenue.,COTE-DES-NEIGES,45.496,-73.6247,100
1305,CTRACHAT,CAACADSAUV,Centre d'achats Acadie/Sauve,1400 Sauve RU O MONTREAL (AHUNTSIC/CARTIERVILLE) H2C2E3,L'Acadie Sauve shopping centre . Via the entrance on the East side at Paratransit pictogram,AHUNTSIC,45.5539,-73.667,100
1345,BUREAU,CEMPLOIROS,Centre d'emploi Rosemont-Petite-Patrie,5656 D'Iberville RU MONTREAL (ROSEMONT) H1X3H1,Rosemont-Petite-Patrie Employment Center. Via the main entrance at the Pictogram TA.,ROSEMONT,45.5585,-73.5901,100
3656,MEDICAL,CENTRAIDSP,Centre d'entraide Sclerose en Plaques,1255 Transcanadienne VO DORVAL H9P2V4,Multiple Sclerosis support center. Via the ramp in the back,DORVAL,45.4501,-73.7491,100
4178,LOISIRS,CFACQ,Centre de formation Aliment/Com/Quebec,1200 Cremazie BV E MONTREAL (VILLERAY/ST-MICHEL/PARC EXT) H1V1K4,Training Center of Food and Trade of Quebec . Via the rear parking,VILLERAY,45.5556,-73.617,100
